Loan_ID,Female,Married,Dependents,Education,Self-Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan-status
LP001002,Male,0,0,Graduate,0,5849.00,0.00,454.00,360,1,Urban,1
LP001003,Male,1,1,Graduate,0,4583.00,1508.00,128.00,360,1,Rural,0
LP001005,Male,1,0,Graduate,1,3000.00,0.00,66.00,360,1,Urban,1
LP001006,Male,1,0,Not Graduate,0,2583.00,2358.00,120.00,360,1,Urban,1
LP001008,Male,0,0,Graduate,0,6000.00,0.00,141.00,360,1,Urban,1
LP001011,Male,1,2,Graduate,1,5417.00,4196.00,267.00,360,1,Urban,1
LP001013,Male,1,0,Not Graduate,0,2333.00,1516.00,95.00,360,1,Urban,1
LP001014,Male,1,3,Graduate,0,3036.00,2504.00,158.00,360,0,Semiurban,0
LP001018,Male,1,2,Graduate,0,4006.00,1526.00,168.00,360,1,Urban,1
LP001020,Male,1,1,Graduate,0,12841.00,10968.00,349.00,360,1,Semiurban,0
LP001024,Male,1,2,Graduate,0,3200.00,700.00,70.00,360,1,Urban,1
LP001027,Male,1,2,Graduate,1,2500.00,1840.00,109.00,360,1,Urban,1
LP001028,Male,1,2,Graduate,0,3073.00,8106.00,200.00,360,1,Urban,1
LP001029,Male,0,0,Graduate,0,1853.00,2840.00,114.00,360,1,Rural,0
LP001030,Male,1,2,Graduate,0,1299.00,1086.00,17.00,120,1,Urban,1
LP001032,Male,0,0,Graduate,0,4950.00,0.00,125.00,360,1,Urban,1
LP001034,Male,0,1,Not Graduate,0,3596.00,0.00,100.00,240,1,Urban,1
LP001036,Female,0,0,Graduate,0,3510.00,0.00,76.00,360,0,Urban,0
LP001038,Male,1,0,Not Graduate,0,4887.00,0.00,133.00,360,1,Rural,0
LP001041,Male,1,0,Graduate,1,2600.00,3500.00,115.00,180,1,Urban,1
LP001043,Male,1,0,Not Graduate,0,7660.00,0.00,104.00,360,0,Urban,0
LP001046,Male,1,1,Graduate,0,5955.00,5625.00,315.00,360,1,Urban,1
LP001047,Male,1,0,Not Graduate,0,2600.00,1911.00,116.00,360,0,Semiurban,0
LP001050,Female,1,2,Not Graduate,0,3365.00,1917.00,112.00,360,0,Rural,0
LP001052,Male,1,1,Graduate,1,3717.00,2925.00,151.00,360,1,Semiurban,0
LP001066,Male,1,0,Graduate,1,9560.00,0.00,191.00,360,1,Semiurban,1
LP001068,Male,1,0,Graduate,0,2799.00,2253.00,122.00,360,1,Semiurban,1
LP001073,Male,1,2,Not Graduate,0,4226.00,1040.00,110.00,360,1,Urban,1
LP001086,Male,0,0,Not Graduate,0,1442.00,0.00,35.00,360,1,Urban,0
LP001087,Female,0,2,Graduate,0,3750.00,2083.00,120.00,360,1,Semiurban,1
LP001091,Male,1,1,Graduate,1,4166.00,3369.00,201.00,360,1,Urban,0
LP001095,Male,0,0,Graduate,0,3167.00,0.00,74.00,360,1,Urban,0
LP001097,Male,0,1,Graduate,1,4692.00,0.00,106.00,360,1,Rural,0
LP001098,Male,1,0,Graduate,0,3500.00,1667.00,114.00,360,1,Semiurban,1
LP001100,Male,0,3,Graduate,0,12500.00,3000.00,320.00,360,1,Rural,0
LP001106,Male,1,0,Graduate,0,2275.00,2067.00,245.00,360,1,Urban,1
LP001109,Male,1,0,Graduate,0,1828.00,1330.00,100.00,180,0,Urban,0
LP001112,Female,1,0,Graduate,0,3667.00,1459.00,144.00,360,1,Semiurban,1
LP001114,Male,0,0,Graduate,0,4166.00,7210.00,184.00,360,1,Urban,1
LP001116,Male,0,0,Not Graduate,0,3748.00,1668.00,110.00,360,1,Semiurban,1
LP001119,Male,0,0,Graduate,0,3600.00,0.00,80.00,360,1,Urban,0
LP001120,Male,0,0,Graduate,0,1800.00,1213.00,47.00,360,1,Urban,1
LP001123,Male,1,0,Graduate,0,2400.00,0.00,75.00,360,1,Urban,1
LP001131,Male,1,0,Graduate,0,3941.00,2336.00,134.00,360,1,Semiurban,1
LP001136,Male,1,0,Not Graduate,1,4695.00,0.00,96.00,180,1,Urban,1
LP001137,Female,0,0,Graduate,0,3410.00,0.00,88.00,180,1,Urban,1
LP001138,Male,1,1,Graduate,0,5649.00,0.00,44.00,360,1,Urban,1
LP001144,Male,1,0,Graduate,0,5821.00,0.00,144.00,360,1,Urban,1
LP001146,Female,1,0,Graduate,0,2645.00,3440.00,120.00,360,0,Urban,0
LP001151,Female,0,0,Graduate,0,4000.00,2275.00,144.00,360,1,Semiurban,1
LP001155,Female,1,0,Not Graduate,0,1928.00,1644.00,100.00,360,1,Semiurban,1
LP001157,Female,0,0,Graduate,0,3086.00,0.00,120.00,360,1,Semiurban,1
LP001164,Female,0,0,Graduate,0,4230.00,0.00,112.00,360,1,Semiurban,0
LP001179,Male,1,2,Graduate,0,4616.00,0.00,134.00,360,1,Urban,0
LP001186,Female,1,1,Graduate,1,11500.00,0.00,286.00,360,0,Urban,0
LP001194,Male,1,2,Graduate,0,2708.00,1167.00,97.00,360,1,Semiurban,1
LP001195,Male,1,0,Graduate,0,2132.00,1591.00,96.00,360,1,Semiurban,1
LP001197,Male,1,0,Graduate,0,3366.00,2200.00,135.00,360,1,Rural,0
LP001198,Male,1,1,Graduate,0,8080.00,2250.00,180.00,360,1,Urban,1
LP001199,Male,1,2,Not Graduate,0,3357.00,2859.00,144.00,360,1,Urban,1
LP001205,Male,1,0,Graduate,0,2500.00,3796.00,120.00,360,1,Urban,1
LP001206,Male,1,3,Graduate,0,3029.00,0.00,99.00,360,1,Urban,1
LP001207,Male,1,0,Not Graduate,1,2609.00,3449.00,165.00,180,0,Rural,0
LP001213,Male,1,1,Graduate,0,4945.00,0.00,167.00,360,0,Rural,0
LP001222,Female,0,0,Graduate,0,4166.00,0.00,116.00,360,0,Semiurban,0
LP001225,Male,1,0,Graduate,0,5726.00,4595.00,258.00,360,1,Semiurban,0
LP001228,Male,0,0,Not Graduate,0,3200.00,2254.00,126.00,180,0,Urban,0
LP001233,Male,1,1,Graduate,0,10750.00,0.00,312.00,360,1,Urban,1
LP001238,Male,1,3,Not Graduate,1,7100.00,0.00,125.00,60,1,Urban,1
LP001241,Female,0,0,Graduate,0,4300.00,0.00,136.00,360,0,Semiurban,0
LP001243,Male,1,0,Graduate,0,3208.00,3066.00,172.00,360,1,Urban,1
